wd_name,ms_simbadable_name,disc_ref,disc_type,note,resolved,resolved_ref,confirmed,confirmed_ref,wd_gaia_sourceid,ms_gaia_sourceid,plx,plx_err,ra_j2000,ra_j2000_err,dec_j2000,dec_j2000_err,plx_coord_source,wd_vmag,wd_gaia_g,ms_vmag,ms_gaia_g,n_sys_components,wd_ms_sep_au,wd_ms_sep_as,wd_ms_pa,sep_pa_date,sep_pa_ref,wd_spt,wd_teff,wd_logg,wd_mass,wd_mass_err,dyn_mass,wd_radius,wd_cooling_age,wd_cooling_age_plus,wd_cooling_age_minus,wd_properties_refs,ms_spt,ms_teff,ms_logg,ms_mass,ms_radius,ms_age,ms_age_plus,ms_age_minus,ms_properties_refs,wd_known_polluted,pollution_reference,has_orbit,sma,sma_err_plus,sma_err_minus,per,per_err_plus,per_err_minus,ecc,ecc_err_plus,ecc_err_minus,inc,inc_err_plus,inc_err_minus,argp,argp_err_plus,argp_err_minus,lon,lon_err_plus,lon_err_minus,t0,t0_err_plus,t0_err_minus,error_format,orbit_params_ref
0021+253,BD+24 32,--,--,In OBr23 cat of 40pc WDMS,Y,GaiaDR3,--,--,2855386170682263424,2855386174976559488,,,,,,,--,,,,,2.0,214.3707514,,--,--,--,DA,--,--,,--,N,--,--,--,--,2020MNRAS.497..130T,K5,--,--,,--,--,--,--,1986AJ.....91..144S,N,--,N,,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0022-745,HD 2133,OHL88,Imaging,in H13 cat,Y,Bar01,--,--,4688399704914350464,4688399704914350464,7.6766,0.0132,6.1718,0.0114,-74.2346,0.0113,GaiaDR3,9.62,9.5,9.62,9.5,2.0,,0.6000000238,--,--,--,DA1.9,--,--,0.5299999714,,N,--,,,,H13,F7V,--,--,1.19,--,,,,H13,U,--,N,91.3,,,665.0,,,,,,,,,,,,,,,,,,--,H13
0023-109,G 158-077,OHL88,Imaging,in H13 cat,Y,OHL88,--,--,2424880574738721408,2424880849616628096,11.2588,0.0191,6.5016,0.0147,-10.6176,0.0124,GaiaDR3,16.22,16.18,12.9,12.82,3.0,,59.58000183,--,--,--,DA4.8,--,--,0.6100000143,,N,--,,,,H13,K6V,--,--,0.61,--,,,,H13,U,--,N,4497.1,,,273000.0,,,,,,,,,,,,,,,,,,--,H13
0030+444,BD +43 100,OHL88,Imaging,"in H13 cat, In Noor24 cat",Y,OHL88,--,--,388602146952607360,388602116890169088,12.9886,0.0215,8.2573,0.0167,44.7299,0.0104,GaiaDR3,,16.54,,10.07,2.0,97622.17936,29.12000084,110.8685419,2016,GaiaDR3,DA4.8,--,--,0.7699999809,,N,--,,,,H13,K1V,--,--,0.9,--,,,,H13,U,--,N,2881.0,,,120000.0,,,,,,,,,,,,,,,,,,--,H13
0040-220,--,OS94,Imaging,in H13 cat,Y,OS94,--,--,2350009227366717056,--,1.0782,0.0816,10.7568,0.0652,-21.7578,0.0505,GaiaDR3,17.7,17.18,,,2.0,,22.65999985,--,--,--,WD,--,--,,,N,--,,,,H13,K7.1V,--,--,0.61,--,,,,H13,U,--,N,20117.6,,,,,,,,,,,,,,,,,,,,,--,H13
0041+092,BD +8 102,OHL88,Imaging,in H13 cat,N,--,--,--,2750199780197751936,2750199780197751936,12.3286,0.2111,11.0056,0.1857,9.5492,0.106,GaiaDR3,10.22,9.82,10.22,9.82,2.0,,0.07999999821,--,--,--,DA2.1,--,--,0.3899999857,,N,--,,,,H13,K2V,--,--,0.84,--,,,,H13,U,--,N,5.8,,,,,,,,,,,,,,,,,,,,,--,H13
0042+140,BD +13 99,OS94,Imaging,in H13 cat,Y,OS94,--,--,2776464261127797248,2776464639084019200,17.3551,0.0186,11.3386,0.0144,14.3627,0.0076,GaiaDR3,,18.51,,9.6,2.0,,71.76999664,--,--,--,DC,--,--,0.6000000238,,N,--,,,,H13,G8V,--,--,,--,,,,H13,U,--,N,5539.9,,,,,,,,,,,,,,,,,,,,,--,H13
0052+115,LP 466-420,OS94,Imaging,in H13 cat,Y,OS94,--,--,2582804731211026048,2582804735505977984,0.3234,0.0748,13.8611,0.0657,11.804,0.053,GaiaDR3,18.3,17.6,15.05,16.89,2.0,,7.119999886,--,--,--,DB,--,--,,,N,--,,,,H13,G,--,--,,--,,,,H13,U,--,N,,,,,,,,,,,,,,,,,,,,,,--,H13
0103+050,HD 6101,--,--,In OBr23 cat of 40pc WDMS,Y,GaiaDR3,--,--,2552121179905893888,2552288133874677760,,,,,,,--,,,,,4.0,28709.59833,,--,--,--,DA+DA,--,--,,--,N,--,--,--,--,2015ApJS..219...19L,K3+K8,--,--,,--,--,--,--,2002A&A...384..180F,N,--,N,,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0114-027,HD 7672,OS94,Imaging,in H13 cat,N,--,--,--,2531779768115636992,2531779768115636992,13.3622,0.0922,19.1508,0.0696,-2.5007,0.0508,GaiaDR3,5.43,5.28,5.43,5.28,2.0,,,--,--,--,DA2.8,--,--,0.6200000048,,N,--,,,,H13,G5III,--,--,2.2,--,,,,H13,U,--,N,0.41,,,0.1550000012,,,,,,,,,,,,,,,,,,--,H13
0119-004,LP  587-43," Zuck14, Voss07",,In Zuck14 cat,Y," Zuck14, Voss07",,,2534148150521389440,2534148146225857792,8.9673,0.0697,20.4505,0.055,-0.182,0.043,GaiaDR3,16.3,16.383495,,18.202797,2.0,990.0,9.0,,,,DB,16540,,,,N,,,,,,,,,,,,,,,Y," Zuck14, Voss07",N,,,,,,,,,,,,,,,,,,,,,,,
0120-024,G 271-52," Kaw&Ven12, Zuck14",,In Zuck14 cat,Y," Kaw&Ven12, Zuck14",,,2485211533668928640,2485305370114328576,23.0593,0.1012,20.8123,0.087,-2.1574,0.058,GaiaDR3,17.0,17.314297,,11.71621,2.0,1850.0,44.0,,,,DA,5840,,,,N,,,,,,,,,,,,,,,Y," Kaw&Ven12, Zuck14",N,,,,,,,,,,,,,,,,,,,,,,,
0145+176,Gaia DR2 91690164426524288,Noor24,Gaia CPM,In Noor24 cat,Y,GaiaDR3,--,--,91690164426711040,91690164426524288,11.34908888,0.05174523,27.09019513,,17.87041767,,GaiaDR3,,11.6340885,,15.7850895,2.0,9613.491727,28.39004151,52.4896302,2016,GaiaDR3,DA,--,--,,,N,--,,,,--,--,--,--,,--,,,,--,--,--,N,,,,,,,,,,,,,,,,,,,,,,--,--
0148+641,G 244-37,Zuck03,,In Zuck14 cat,Y,Zuck03,,,518201792978858880,518201792978856960,57.7992,0.016,27.9654,0.0101,64.4304,0.011,GaiaDR3,14.0,13.947424,,10.408663,2.0,200.0,12.0,,,,DA,6100(?),,,,N,,,,,,,,,,,,,,,Y,Zuck03,N,,,,,,,,,,,,,,,,,,,,,,,
0204-306,G 274-153," Kaw&Ven12, Zuck14",,In Zuck14 cat,Y," Kaw&Ven12, Zuck14",,,5020119579868434944,5020116556211470848,34.1906,0.0591,31.7608,0.0382,-30.393,0.0388,GaiaDR3,16.2,16.70231,,12.891234,2.0,2190.0,73.0,,,,DA,5640,,,,N,,,,,,,,,,,,,,,Y," Kaw&Ven12, Zuck14",N,,,,,,,,,,,,,,,,,,,,,,,
0208-510,GJ 86,OHL88,Imaging,in H13 cat,Y,Bar01,--,--,4937000898856154624,4937000898856156288,92.9251,0.0461,32.6229,0.0359,-50.8209,0.0408,GaiaDR3,,13.09,6.12,5.89,3.0,22.0,2.4,--,--,--,DQ6,--,--,0.596,0.01,Y,--,1.25,,,"Far13, Bra19",K0V,--,--,0.8,--,2.5,,,H13,U,--,N,23.1,,,94.09999847,,,,,,,,,,,,,,,,,,--,H13
0210+086,HD 13611,OS94,Imaging,"in H13 cat, Barium star",N,--,--,--,2521951302394350336,2521951302394350336,10.4184,0.3462,33.2499,0.4955,8.8467,0.2738,GaiaDR3,4.35,4.13,4.35,4.13,2.0,,0.1599999964,--,--,--,DA3.9,--,--,0.8000000119,,N,--,,,,H13,G8Iab,--,--,2.0,--,,,,H13,U,--,N,3.8,,,4.5,,,,,,,,,,,,,,,,,,--,H13
0220+221,HD  14784,Noor24,Gaia CPM,In Noor24 cat,Y,GaiaDR3,--,--,99915890086770176,99915890086770560,12.70473028,0.04346122,35.90111995,,22.45782134,,GaiaDR3,15.82999992,8.14694,,15.798637,2.0,10286.85381,22.75957402,287.9361726,2016,GaiaDR3,DA3.1,--,--,,,N,--,,,,--,G0,--,--,,--,,,,--,--,--,N,,,,,,,,,,,,,,,,,,,,,,--,--
0221+399,BD +39 0539,OS94,Imaging,in H13 cat,Y,OS94,--,--,338094538438744320,338094740299867008,24.1343,0.0168,36.1694,0.0154,40.1391,0.0124,GaiaDR3,,17.16,,9.52,2.0,,40.74000168,--,--,--,DA8.1,--,--,0.7900000215,,N,--,,,,H13,K3V,--,--,0.83,--,,,,H13,U,--,N,1718.4,,,56000.0,,,,,,,,,,,,,,,,,,--,H13
0221+533,BD+52 570,--,--,In OBr23 cat of 40pc WDMS,Y,GaiaDR3,--,--,455517329408362752,455517325107520256,,,,,,,--,,,,,2.0,335.8547533,,--,--,--,DC,--,--,,--,N,--,--,--,--,2020MNRAS.497..130T,K8V,--,--,,--,--,--,--,1956AJ.....61..201V,N,--,N,,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0226-615,HD 15638,OHL88,Imaging,in H13 cat,N,--,--,--,4725491042475946112,4725491042475946112,5.9453,0.1351,37.0792,0.1342,-61.3053,0.117,GaiaDR3,8.88,8.78,8.88,8.78,2.0,,0.07999999821,--,--,--,DA1.1,--,--,0.5400000215,,N,--,,,,H13,F6V,--,--,1.7,--,,,,H13,U,--,N,18.3,,,52.29999924,,,,,,,,,,,,,,,,,,--,H13
0227-005,BD -01 343,OS94,Imaging,in H13 cat,Y,OS94,--,--,2500166158821697536,2500351740063910912,11.4137,0.0707,37.5158,0.0602,-0.3775,0.0465,GaiaDR3,,19.76,9.95,9.85,2.0,,10.75,--,--,--,DB4.4,--,--,1.639999986,,N,--,,,,H13,K0V,--,--,698.8,--,,,,H13,U,--,N,,,,,,,,,,,,,,,,,,,,,,--,H13
0250-007,BD -1 407,"OHL88,  Koes09, Zuck14",Imaging,"in H13 cat, In Zuck14 cat",Y,OHL88,--,--,2497895053130247040,2497893575661497856,21.2072,0.0167,43.381,0.0148,-0.569,0.0126,GaiaDR3,16.4,16.31,9.11,8.95,2.0,1020.0,27.40999985,--,--,--,DA6.0,8400,--,0.8700000048,,N,--,,,,"H13,  Koes09, Zuck14",G5V,--,--,0.81,--,,,,H13,Y," Koes09, Zuck14",N,1125.7,,,29100.0,,,,,,,,,,,,,,,,,,--,H13
0252-055,HD 18131,OHL88,Imaging,in H13 cat,N,--,--,--,5184265327181629056,5184265327181629056,8.7866,0.2622,43.6619,0.19,-5.3309,0.1995,GaiaDR3,7.31,7.1,7.31,7.1,2.0,,0.07999999821,--,--,--,DA2.0,--,--,0.400000006,,N,--,,,,H13,K0IV,--,--,,--,,,,H13,U,--,N,9.0,,,,,,,,,,,,,,,,,,,,,--,H13
0303+060,HD 19019,--,--,In OBr23 cat of 40pc WDMS,Y,GaiaDR3,--,--,6963383233077632,6963761190199424,,,,,,,--,,,,,2.0,366.5640597,,--,--,--,DXP,--,--,,--,N,--,--,--,--,2020MNRAS.497..130T,G0V,--,--,,--,--,--,--,2004ApJS..155..175A,N,--,N,,--,--,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0304+154,LP 471-51,OS94,Imaging,in H13 cat,Y,OS94,--,--,31322547949728256,31322547950435840,16.9837,0.0315,46.7675,0.0264,15.6744,0.0245,GaiaDR3,,19.24,,10.95,2.0,,18.29999924,--,--,--,DC,--,--,,,N,--,,,,H13,K3V,--,--,0.71,--,,,,H13,U,--,N,1450.3,,,,,,,,,,,,,,,,,,,,,--,H13
0315-011,BD -1 469,OS94,Imaging,in H13 cat,Y,OS94,--,--,3262705170928796800,3262681703227491968,15.4003,0.0796,49.5946,0.0861,-0.9306,0.0579,GaiaDR3,,17.53,,5.2,2.0,,48.43000031,--,--,--,DA6.7,--,--,0.6000000238,,N,--,,,,H13,K1IV,--,--,,--,,,,H13,U,--,N,3610.3,,,,,,,,,,,,,,,,,,,,,--,H13
